name,cost,difficulty,genre,description,unlockCondition,unlockValue,specialTag
아줄,45000,2,타일배치,아름다운 타일로 왕궁을 장식하는 게임,always,0,추천
킹 오브 도쿄,38000,1,주사위,괴수가 되어 도쿄를 점령하는 다이스 게임,always,0,입문용
디셉션,42000,3,추리,살인사건의 범인을 찾는 추리 게임,visitors,50,파티
팬데믹,48000,3,협력,전세계 질병 확산을 막는 협력 게임,day,30,협력
윙스팬,60000,4,엔진빌딩,새들의 서식지를 만드는 엔진빌딩 게임,rating,60,전문가
카탄,45000,3,전략,자원을 모아 정착지를 건설하는 개척 게임,always,0,인기
7 Wonders,48000,3,전략,문명을 발전시켜 7대 불가사의를 건설하는 게임,rating,55,전략
도미니언,42000,3,덱빌딩,카드로 자신만의 덱을 만드는 게임,day,20,덱빌딩
블로커스,38000,2,전략,자신의 타일을 모서리로 연결하는 게임,always,0,가족용
쿼리도,35000,2,미로,미로를 만들며 상대를 막는 전략게임,visitors,30,논리
캐럿,28000,1,파티,역할을 맞추는 소셜 추리게임,always,0,파티
인사이더 게임,32000,2,추리,문답으로 내부자를 찾는 추론게임,day,15,추리
다빈치코드,30000,2,추리,상대 숫자를 맞추는 추리게임,visitors,40,두뇌
스컬킹,28000,2,트릭테이킹,자신이 딸 수 있는 트릭 수를 예측하는 게임,day,25,카드
원나잇 인랑,32000,2,추리,단 한 밤의 인랑 게임,visitors,60,인랑
디스코드,35000,2,파티,제한 시간 안에 단어를 설명하는 파티게임,always,0,파티
